,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
26846,56,technician,single,secondary,no,1437,yes,no,cellular,20,nov,367,8,-1,0,unknown,no
3661,31,admin.,single,secondary,no,0,yes,no,unknown,16,may,28,4,-1,0,unknown,no
17740,40,management,married,unknown,no,6,yes,no,cellular,29,jul,64,4,-1,0,unknown,no
2002,35,management,single,tertiary,no,123,yes,no,unknown,9,may,83,3,-1,0,unknown,no
10083,40,admin.,divorced,secondary,no,1967,yes,no,unknown,11,jun,363,1,-1,0,unknown,no
7376,51,blue-collar,married,primary,no,1491,yes,no,unknown,29,may,206,3,-1,0,unknown,no
22568,45,management,married,tertiary,no,0,no,no,cellular,22,aug,112,3,-1,0,unknown,no
30628,26,unknown,single,secondary,no,3247,no,no,telephone,6,feb,341,3,-1,0,unknown,no
14554,44,admin.,married,secondary,no,100,yes,no,cellular,15,jul,71,4,-1,0,unknown,no
21575,42,self-employed,married,secondary,no,95,no,no,cellular,19,aug,119,6,-1,0,unknown,no
25376,31,blue-collar,married,secondary,no,604,yes,no,cellular,18,nov,394,2,-1,0,unknown,no
26510,56,management,married,tertiary,no,1803,no,no,cellular,20,nov,305,2,-1,0,unknown,no
26272,38,admin.,married,secondary,no,76,no,no,cellular,20,nov,129,1,-1,0,unknown,no
23601,32,entrepreneur,single,tertiary,no,890,yes,yes,cellular,28,aug,27,10,-1,0,unknown,no
26367,52,management,married,tertiary,no,6922,no,no,cellular,20,nov,371,1,-1,0,unknown,no
39551,25,student,single,secondary,no,715,no,no,cellular,26,may,217,1,-1,0,unknown,no
27268,37,admin.,single,secondary,no,528,yes,no,cellular,21,nov,65,1,-1,0,unknown,no
4625,37,management,single,tertiary,no,23867,no,no,unknown,20,may,188,3,-1,0,unknown,no
4305,57,retired,married,secondary,no,919,yes,yes,unknown,19,may,408,2,-1,0,unknown,no
8352,31,technician,single,secondary,no,674,yes,yes,unknown,3,jun,150,3,-1,0,unknown,no
1973,53,management,divorced,tertiary,no,0,no,no,unknown,9,may,44,2,-1,0,unknown,no
40652,45,management,married,tertiary,no,6945,no,no,cellular,5,aug,131,5,356,3,failure,no
19094,51,admin.,married,secondary,no,949,no,no,cellular,5,aug,1092,1,-1,0,unknown,yes
25549,40,services,married,secondary,no,961,no,yes,cellular,19,nov,589,1,133,4,other,no
20654,45,management,married,secondary,no,424,yes,yes,cellular,12,aug,216,5,-1,0,unknown,no
19395,32,technician,married,secondary,no,2556,no,no,cellular,6,aug,269,3,-1,0,unknown,no
4859,36,technician,single,secondary,no,656,no,no,unknown,21,may,261,1,-1,0,unknown,no
23430,38,unemployed,single,secondary,no,0,no,no,cellular,27,aug,44,3,-1,0,unknown,no
15958,29,technician,single,secondary,no,-496,yes,yes,cellular,22,jul,422,8,-1,0,unknown,no
22519,41,technician,married,secondary,no,0,no,no,cellular,22,aug,209,2,-1,0,unknown,no
27183,33,blue-collar,married,primary,no,2456,yes,no,cellular,21,nov,552,3,127,1,failure,no
13553,45,admin.,married,secondary,no,1097,yes,yes,cellular,9,jul,180,1,-1,0,unknown,no
27101,34,blue-collar,married,primary,no,3527,yes,no,cellular,21,nov,1022,1,-1,0,unknown,yes
44300,23,management,single,tertiary,no,1807,no,no,cellular,27,jul,606,1,-1,0,unknown,yes
20272,36,management,single,tertiary,no,741,no,no,cellular,11,aug,214,2,-1,0,unknown,no
34951,29,technician,single,tertiary,no,2203,yes,no,cellular,6,may,1131,2,-1,0,unknown,no
24820,59,management,married,tertiary,no,63,no,no,telephone,18,nov,89,1,-1,0,unknown,no
5489,30,technician,married,secondary,no,590,yes,no,unknown,23,may,242,3,-1,0,unknown,no
8157,50,technician,married,secondary,no,669,yes,no,unknown,2,jun,88,1,-1,0,unknown,no
20840,45,technician,divorced,tertiary,no,206,no,no,cellular,13,aug,376,4,-1,0,unknown,no
22732,40,technician,married,secondary,no,214,no,no,cellular,25,aug,59,6,-1,0,unknown,no
41306,28,management,single,tertiary,no,223,yes,no,telephone,27,aug,157,2,119,1,other,yes
21513,36,technician,single,secondary,no,140,yes,no,cellular,19,aug,100,9,-1,0,unknown,no
24298,55,management,married,secondary,no,2410,yes,no,cellular,17,nov,135,1,-1,0,unknown,no
2149,36,blue-collar,married,primary,no,199,yes,no,unknown,12,may,165,4,-1,0,unknown,no
16618,41,admin.,married,secondary,no,2661,yes,no,telephone,24,jul,258,1,-1,0,unknown,no
28504,57,management,divorced,tertiary,no,-676,yes,yes,cellular,29,jan,100,2,247,1,failure,no
26421,31,self-employed,single,secondary,no,1086,no,no,cellular,20,nov,410,1,-1,0,unknown,no
3382,33,blue-collar,married,primary,no,0,yes,no,unknown,15,may,270,1,-1,0,unknown,no
